"","survived","pclass","sex","age","sibsp","parch","fare","embarked","class","who","adult_male","deck","embark_town","alive","alone"
"1",0,3,"male",36,0,0,0,"S","Third","man","True","","Southampton","no","True"
"2",0,1,"male",40,0,0,0,"S","First","man","True","B","Southampton","no","True"
"3",1,3,"male",25,0,0,0,"S","Third","man","True","","Southampton","yes","True"
"4",0,3,"male",19,0,0,0,"S","Third","man","True","","Southampton","no","True"
"5",0,3,"male",49,0,0,0,"S","Third","man","True","","Southampton","no","True"
"6",0,1,"male",39,0,0,0,"S","First","man","True","A","Southampton","no","True"
"7",0,1,"male",38,0,0,0,"S","First","man","True","","Southampton","no","True"
"8",0,3,"male",20,0,0,4.0125,"C","Third","man","True","","Cherbourg","no","True"
"9",0,1,"male",33,0,0,5,"S","First","man","True","B","Southampton","no","True"
"10",0,3,"male",61,0,0,6.2375,"S","Third","man","True","","Southampton","no","True"
"11",0,3,"male",34.5,0,0,6.4375,"C","Third","man","True","","Cherbourg","no","True"
"12",0,3,"male",43,0,0,6.45,"S","Third","man","True","","Southampton","no","True"
"13",0,3,"male",34,0,0,6.4958,"S","Third","man","True","","Southampton","no","True"
"14",0,3,"male",18,1,0,6.4958,"S","Third","man","True","","Southampton","no","False"
"15",0,3,"male",19,0,0,6.75,"Q","Third","man","True","","Queenstown","no","True"
"16",0,3,"female",18,0,0,6.75,"Q","Third","woman","False","","Queenstown","no","True"
"17",0,3,"male",45,0,0,6.975,"S","Third","man","True","","Southampton","no","True"
"18",1,3,"male",27,0,0,6.975,"S","Third","man","True","","Southampton","yes","True"
"19",0,3,"male",29,1,0,7.0458,"S","Third","man","True","","Southampton","no","False"
"20",0,3,"male",20,0,0,7.05,"S","Third","man","True","","Southampton","no","True"
"21",0,3,"male",24,0,0,7.05,"S","Third","man","True","","Southampton","no","True"
"22",0,3,"male",35,0,0,7.05,"S","Third","man","True","","Southampton","no","True"
"23",0,3,"male",38,0,0,7.05,"S","Third","man","True","","Southampton","no","True"
"24",0,3,"male",25,0,0,7.05,"S","Third","man","True","","Southampton","no","True"
"25",0,3,"male",25,0,0,7.05,"S","Third","man","True","","Southampton","no","True"
"26",0,3,"male",51,0,0,7.0542,"S","Third","man","True","","Southampton","no","True"
"27",0,3,"male",17,1,0,7.0542,"S","Third","man","True","","Southampton","no","False"
"28",0,3,"male",22,0,0,7.125,"S","Third","man","True","","Southampton","no","True"
"29",0,3,"male",17,0,0,7.125,"S","Third","man","True","","Southampton","no","True"
"30",0,3,"male",35,0,0,7.125,"S","Third","man","True","","Southampton","no","True"
"31",0,3,"male",41,0,0,7.125,"S","Third","man","True","","Southampton","no","True"
"32",1,3,"male",24,0,0,7.1417,"S","Third","man","True","","Southampton","yes","True"
"33",0,3,"male",45.5,0,0,7.225,"C","Third","man","True","","Cherbourg","no","True"
"34",0,3,"male",30,0,0,7.225,"C","Third","man","True","","Cherbourg","no","True"
"35",1,3,"male",22,0,0,7.225,"C","Third","man","True","","Cherbourg","yes","True"
"36",0,3,"male",40,0,0,7.225,"C","Third","man","True","","Cherbourg","no","True"
"37",0,3,"male",25,0,0,7.225,"C","Third","man","True","","Cherbourg","no","True"
"38",1,3,"female",15,0,0,7.225,"C","Third","child","False","","Cherbourg","yes","True"
"39",0,3,"male",28.5,0,0,7.2292,"C","Third","man","True","","Cherbourg","no","True"
"40",0,3,"male",22,0,0,7.2292,"C","Third","man","True","","Cherbourg","no","True"
"41",0,3,"male",23.5,0,0,7.2292,"C","Third","man","True","","Cherbourg","no","True"
"42",0,3,"male",15,1,1,7.2292,"C","Third","child","False","","Cherbourg","no","False"
"43",0,3,"male",17,1,1,7.2292,"C","Third","man","True","","Cherbourg","no","False"
"44",1,3,"male",20,0,0,7.2292,"C","Third","man","True","","Cherbourg","yes","True"
"45",1,3,"female",13,0,0,7.2292,"C","Third","child","False","","Cherbourg","yes","True"
"46",0,3,"male",30,0,0,7.2292,"C","Third","man","True","","Cherbourg","no","True"
"47",0,3,"male",22,1,0,7.25,"S","Third","man","True","","Southampton","no","False"
"48",0,3,"male",59,0,0,7.25,"S","Third","man","True","","Southampton","no","True"
"49",0,3,"male",22,0,0,7.25,"S","Third","man","True","","Southampton","no","True"
"50",0,3,"male",20.5,0,0,7.25,"S","Third","man","True","","Southampton","no","True"
"51",0,3,"male",22,0,0,7.25,"S","Third","man","True","","Southampton","no","True"
"52",0,3,"male",30,0,0,7.25,"S","Third","man","True","","Southampton","no","True"
"53",1,3,"female",22,0,0,7.25,"S","Third","woman","False","","Southampton","yes","True"
"54",0,3,"male",21,0,0,7.25,"S","Third","man","True","","Southampton","no","True"
"55",0,3,"male",47,0,0,7.25,"S","Third","man","True","","Southampton","no","True"
"56",0,3,"male",25,0,0,7.25,"S","Third","man","True","","Southampton","no","True"
"57",0,3,"male",24,0,0,7.4958,"S","Third","man","True","","Southampton","no","True"
"58",0,3,"male",36,0,0,7.4958,"S","Third","man","True","","Southampton","no","True"
"59",1,3,"female",18,0,0,7.4958,"S","Third","woman","False","","Southampton","yes","True"
"60",0,3,"male",22,0,0,7.5208,"S","Third","man","True","","Southampton","no","True"
"61",1,3,"female",23,0,0,7.55,"S","Third","woman","False","","Southampton","yes","True"
"62",0,3,"male",42,0,0,7.55,"S","Third","man","True","","Southampton","no","True"
"63",0,3,"male",25,0,0,7.65,"S","Third","man","True","F","Southampton","no","True"
"64",1,3,"female",21,0,0,7.65,"S","Third","woman","False","","Southampton","yes","True"
"65",0,3,"male",42,0,0,7.65,"S","Third","man","True","F","Southampton","no","True"
"66",0,3,"male",19,0,0,7.65,"S","Third","man","True","F","Southampton","no","True"
"67",1,3,"female",16,0,0,7.7333,"Q","Third","woman","False","","Queenstown","yes","True"
"68",0,3,"male",21,0,0,7.7333,"Q","Third","man","True","","Queenstown","no","True"
"69",0,3,"male",25,0,0,7.7417,"Q","Third","man","True","","Queenstown","no","True"
"70",0,3,"male",70.5,0,0,7.75,"Q","Third","man","True","","Queenstown","no","True"
"71",1,3,"female",22,0,0,7.75,"S","Third","woman","False","","Southampton","yes","True"
"72",1,3,"female",16,0,0,7.75,"Q","Third","woman","False","","Queenstown","yes","True"
"73",0,3,"female",45,0,0,7.75,"S","Third","woman","False","","Southampton","no","True"
"74",0,3,"male",65,0,0,7.75,"Q","Third","man","True","","Queenstown","no","True"
"75",1,3,"female",22,0,0,7.75,"Q","Third","woman","False","","Queenstown","yes","True"
"76",0,3,"male",51,0,0,7.75,"S","Third","man","True","","Southampton","no","True"
"77",0,3,"female",21,0,0,7.75,"Q","Third","woman","False","","Queenstown","no","True"
"78",1,3,"male",29,0,0,7.75,"Q","Third","man","True","","Queenstown","yes","True"
"79",0,3,"male",40.5,0,0,7.75,"Q","Third","man","True","","Queenstown","no","True"
"80",0,3,"male",31,0,0,7.75,"Q","Third","man","True","","Queenstown","no","True"
"81",0,3,"female",30.5,0,0,7.75,"Q","Third","woman","False","","Queenstown","no","True"
"82",0,3,"male",18,0,0,7.75,"S","Third","man","True","","Southampton","no","True"
"83",0,3,"male",32,0,0,7.75,"Q","Third","man","True","","Queenstown","no","True"
"84",0,3,"male",26,0,0,7.775,"S","Third","man","True","","Southampton","no","True"
"85",0,3,"male",29,0,0,7.775,"S","Third","man","True","","Southampton","no","True"
"86",0,3,"female",25,0,0,7.775,"S","Third","woman","False","","Southampton","no","True"
"87",1,3,"male",25,1,0,7.775,"S","Third","man","True","","Southampton","yes","False"
"88",0,3,"male",19,0,0,7.775,"S","Third","man","True","","Southampton","no","True"
"89",0,3,"male",21,0,0,7.775,"S","Third","man","True","","Southampton","no","True"
"90",0,3,"male",25,1,0,7.775,"S","Third","man","True","","Southampton","no","False"
"91",1,3,"female",22,0,0,7.775,"S","Third","woman","False","","Southampton","yes","True"
"92",0,3,"male",18,0,0,7.775,"S","Third","man","True","","Southampton","no","True"
"93",0,3,"male",33,0,0,7.775,"S","Third","man","True","","Southampton","no","True"
"94",0,3,"male",16,0,0,7.775,"S","Third","man","True","","Southampton","no","True"
"95",0,3,"male",31,0,0,7.775,"S","Third","man","True","","Southampton","no","True"
"96",0,3,"female",18,0,0,7.775,"S","Third","woman","False","","Southampton","no","True"
"97",0,3,"male",74,0,0,7.775,"S","Third","man","True","","Southampton","no","True"
"98",1,3,"male",27,0,0,7.7958,"S","Third","man","True","","Southampton","yes","True"
"99",1,3,"male",21,0,0,7.7958,"S","Third","man","True","","Southampton","yes","True"
"100",0,3,"male",22,0,0,7.7958,"S","Third","man","True","","Southampton","no","True"
"101",0,3,"male",24,0,0,7.7958,"S","Third","man","True","","Southampton","no","True"
"102",0,3,"male",18,0,0,7.7958,"S","Third","man","True","","Southampton","no","True"
"103",0,3,"male",28,0,0,7.7958,"S","Third","man","True","","Southampton","no","True"
"104",0,3,"male",21,0,0,7.8,"S","Third","man","True","","Southampton","no","True"
"105",0,3,"female",14,0,0,7.8542,"S","Third","child","False","","Southampton","no","True"
"106",0,3,"male",20,0,0,7.8542,"S","Third","man","True","","Southampton","no","True"
"107",0,3,"male",18,1,1,7.8542,"S","Third","man","True","","Southampton","no","False"
"108",1,3,"female",19,1,0,7.8542,"S","Third","woman","False","","Southampton","yes","False"
"109",0,3,"male",28,0,0,7.8542,"S","Third","man","True","","Southampton","no","True"
"110",1,3,"female",26,0,0,7.8542,"S","Third","woman","False","","Southampton","yes","True"
"111",0,3,"female",31,0,0,7.8542,"S","Third","woman","False","","Southampton","no","True"
"112",1,3,"male",32,0,0,7.8542,"S","Third","man","True","","Southampton","yes","True"
"113",0,3,"male",21,0,0,7.8542,"S","Third","man","True","","Southampton","no","True"
"114",0,3,"male",20,0,0,7.8542,"S","Third","man","True","","Southampton","no","True"
"115",0,3,"male",26,1,0,7.8542,"S","Third","man","True","","Southampton","no","False"
"116",0,3,"male",48,0,0,7.8542,"S","Third","man","True","","Southampton","no","True"
"117",0,3,"male",23,0,0,7.8542,"S","Third","man","True","","Southampton","no","True"
"118",0,3,"male",29,0,0,7.875,"S","Third","man","True","","Southampton","no","True"
"119",1,3,"female",19,0,0,7.8792,"Q","Third","woman","False","","Queenstown","yes","True"
"120",0,3,"male",26,0,0,7.8875,"S","Third","man","True","","Southampton","no","True"
"121",0,3,"female",28,0,0,7.8958,"S","Third","woman","False","","Southampton","no","True"
"122",0,3,"male",28,0,0,7.8958,"S","Third","man","True","","Southampton","no","True"
"123",0,3,"male",38,0,0,7.8958,"S","Third","man","True","","Southampton","no","True"
"124",0,3,"male",33,0,0,7.8958,"C","Third","man","True","","Cherbourg","no","True"
"125",0,3,"male",36,0,0,7.8958,"S","Third","man","True","","Southampton","no","True"
"126",0,3,"male",22,0,0,7.8958,"S","Third","man","True","","Southampton","no","True"
"127",0,3,"male",24,0,0,7.8958,"S","Third","man","True","","Southampton","no","True"
"128",0,3,"male",28,0,0,7.8958,"S","Third","man","True","","Southampton","no","True"
"129",0,3,"male",27,0,0,7.8958,"S","Third","man","True","","Southampton","no","True"
"130",1,3,"male",29,0,0,7.8958,"C","Third","man","True","","Cherbourg","yes","True"
"131",0,3,"male",32,0,0,7.8958,"S","Third","man","True","","Southampton","no","True"
"132",0,3,"male",22,0,0,7.8958,"S","Third","man","True","","Southampton","no","True"
"133",0,3,"male",40,0,0,7.8958,"S","Third","man","True","","Southampton","no","True"
"134",0,3,"male",19,0,0,7.8958,"S","Third","man","True","","Southampton","no","True"
"135",0,3,"male",30,0,0,7.8958,"S","Third","man","True","","Southampton","no","True"
"136",0,3,"male",26,0,0,7.8958,"S","Third","man","True","","Southampton","no","True"
"137",0,3,"male",19,0,0,7.8958,"S","Third","man","True","","Southampton","no","True"
"138",0,3,"male",23,0,0,7.8958,"S","Third","man","True","","Southampton","no","True"
"139",0,3,"male",25,0,0,7.8958,"S","Third","man","True","","Southampton","no","True"
"140",0,3,"male",35,0,0,7.8958,"C","Third","man","True","","Cherbourg","no","True"
"141",0,3,"male",26,0,0,7.8958,"S","Third","man","True","","Southampton","no","True"
"142",0,3,"male",19,0,0,7.8958,"S","Third","man","True","","Southampton","no","True"
"143",0,3,"male",33,0,0,7.8958,"S","Third","man","True","","Southampton","no","True"
"144",1,3,"female",26,0,0,7.925,"S","Third","woman","False","","Southampton","yes","True"
"145",1,3,"female",17,4,2,7.925,"S","Third","woman","False","","Southampton","yes","False"
"146",0,3,"male",37,2,0,7.925,"S","Third","man","True","","Southampton","no","False"
"147",0,3,"male",21,0,0,7.925,"S","Third","man","True","","Southampton","no","True"
"148",0,3,"male",21,0,0,7.925,"S","Third","man","True","","Southampton","no","True"
"149",1,3,"female",27,0,0,7.925,"S","Third","woman","False","","Southampton","yes","True"
"150",0,3,"male",32,0,0,7.925,"S","Third","man","True","","Southampton","no","True"
"151",0,3,"male",28,2,0,7.925,"S","Third","man","True","","Southampton","no","False"
"152",1,3,"male",39,0,0,7.925,"S","Third","man","True","","Southampton","yes","True"
"153",1,3,"male",44,0,0,7.925,"S","Third","man","True","","Southampton","yes","True"
"154",0,3,"male",39,0,0,7.925,"S","Third","man","True","","Southampton","no","True"
"155",1,3,"male",32,0,0,7.925,"S","Third","man","True","","Southampton","yes","True"
"156",0,3,"male",32,0,0,7.925,"S","Third","man","True","","Southampton","no","True"
"157",1,3,"male",20,1,0,7.925,"S","Third","man","True","","Southampton","yes","False"
"158",0,3,"female",25,1,0,7.925,"S","Third","woman","False","","Southampton","no","False"
"159",1,3,"male",31,0,0,7.925,"S","Third","man","True","","Southampton","yes","True"
"160",0,3,"female",23,0,0,7.925,"S","Third","woman","False","","Southampton","no","True"
"161",0,3,"male",20,0,0,7.925,"S","Third","man","True","","Southampton","no","True"
"162",1,3,"female",15,0,0,8.0292,"Q","Third","child","False","","Queenstown","yes","True"
"163",0,3,"male",35,0,0,8.05,"S","Third","man","True","","Southampton","no","True"
"164",0,3,"male",20,0,0,8.05,"S","Third","man","True","","Southampton","no","True"
"165",0,3,"male",21,0,0,8.05,"S","Third","man","True","","Southampton","no","True"
"166",0,3,"male",24,0,0,8.05,"S","Third","man","True","","Southampton","no","True"
"167",0,3,"male",29,0,0,8.05,"S","Third","man","True","","Southampton","no","True"
"168",0,3,"male",22,0,0,8.05,"S","Third","man","True","","Southampton","no","True"
"169",0,3,"male",55.5,0,0,8.05,"S","Third","man","True","","Southampton","no","True"
"170",0,3,"male",30,0,0,8.05,"S","Third","man","True","","Southampton","no","True"
"171",1,3,"male",18,0,0,8.05,"S","Third","man","True","","Southampton","yes","True"
"172",1,3,"male",16,0,0,8.05,"S","Third","man","True","","Southampton","yes","True"
"173",0,3,"male",51,0,0,8.05,"S","Third","man","True","","Southampton","no","True"
"174",1,3,"male",19,0,0,8.05,"S","Third","man","True","","Southampton","yes","True"
"175",1,3,"male",45,0,0,8.05,"S","Third","man","True","","Southampton","yes","True"
"176",0,3,"male",19,0,0,8.05,"S","Third","man","True","","Southampton","no","True"
"177",0,3,"male",26,0,0,8.05,"S","Third","man","True","","Southampton","no","True"
"178",1,3,"male",32,0,0,8.05,"S","Third","man","True","E","Southampton","yes","True"
"179",0,3,"male",34,0,0,8.05,"S","Third","man","True","","Southampton","no","True"
"180",0,3,"male",50,0,0,8.05,"S","Third","man","True","","Southampton","no","True"
"181",0,3,"male",30,0,0,8.05,"S","Third","man","True","","Southampton","no","True"
"182",0,3,"male",21,0,0,8.05,"S","Third","man","True","","Southampton","no","True"
"183",0,3,"male",16,0,0,8.05,"S","Third","man","True","","Southampton","no","True"
"184",0,3,"male",22,0,0,8.05,"S","Third","man","True","","Southampton","no","True"
"185",0,3,"male",44,0,0,8.05,"S","Third","man","True","","Southampton","no","True"
"186",0,3,"male",35,0,0,8.05,"S","Third","man","True","","Southampton","no","True"
"187",0,3,"male",43,0,0,8.05,"S","Third","man","True","","Southampton","no","True"
"188",0,3,"male",24.5,0,0,8.05,"S","Third","man","True","","Southampton","no","True"
"189",0,3,"male",44,0,0,8.05,"S","Third","man","True","","Southampton","no","True"
"190",0,3,"male",34,0,0,8.05,"S","Third","man","True","","Southampton","no","True"
"191",0,3,"male",30.5,0,0,8.05,"S","Third","man","True","","Southampton","no","True"
"192",0,3,"male",19,0,0,8.1583,"S","Third","man","True","","Southampton","no","True"
"193",0,3,"male",18,0,0,8.3,"S","Third","man","True","","Southampton","no","True"
"194",0,3,"male",32,0,0,8.3625,"S","Third","man","True","","Southampton","no","True"
"195",0,3,"male",42,0,1,8.4042,"S","Third","man","True","","Southampton","no","False"
"196",0,3,"male",21,0,0,8.4333,"S","Third","man","True","","Southampton","no","True"
"197",1,3,"male",0.42,0,1,8.5167,"C","Third","child","False","","Cherbourg","yes","False"
"198",0,3,"male",33,0,0,8.6542,"S","Third","man","True","","Southampton","no","True"
"199",0,3,"male",26,2,0,8.6625,"S","Third","man","True","","Southampton","no","False"
"200",0,3,"male",17,0,0,8.6625,"S","Third","man","True","","Southampton","no","True"
"201",0,3,"male",33,0,0,8.6625,"C","Third","man","True","","Cherbourg","no","True"
"202",0,3,"male",42,0,0,8.6625,"S","Third","man","True","","Southampton","no","True"
"203",0,3,"female",20,0,0,8.6625,"S","Third","woman","False","","Southampton","no","True"
"204",0,3,"male",38,0,0,8.6625,"S","Third","man","True","","Southampton","no","True"
"205",0,3,"male",17,0,0,8.6625,"S","Third","man","True","","Southampton","no","True"
"206",0,3,"female",30,0,0,8.6625,"S","Third","woman","False","","Southampton","no","True"
"207",0,3,"male",20,0,0,8.6625,"S","Third","man","True","","Southampton","no","True"
"208",1,3,"male",27,0,0,8.6625,"S","Third","man","True","","Southampton","yes","True"
"209",0,3,"male",21,0,0,8.6625,"S","Third","man","True","","Southampton","no","True"
"210",0,3,"male",17,0,0,8.6625,"S","Third","man","True","","Southampton","no","True"
"211",1,3,"female",31,0,0,8.6833,"S","Third","woman","False","","Southampton","yes","True"
"212",0,3,"female",24,0,0,8.85,"S","Third","woman","False","","Southampton","no","True"
"213",0,3,"male",22,0,0,9,"S","Third","man","True","","Southampton","no","True"
"214",0,3,"male",47,0,0,9,"S","Third","man","True","","Southampton","no","True"
"215",0,3,"male",16,0,0,9.2167,"S","Third","man","True","","Southampton","no","True"
"216",0,3,"male",23,0,0,9.225,"S","Third","man","True","","Southampton","no","True"
"217",0,3,"male",20,0,0,9.225,"S","Third","man","True","","Southampton","no","True"
"218",0,3,"male",22,0,0,9.35,"S","Third","man","True","","Southampton","no","True"
"219",1,3,"female",18,0,1,9.35,"S","Third","woman","False","","Southampton","yes","False"
"220",0,3,"female",40,1,0,9.475,"S","Third","woman","False","","Southampton","no","False"
"221",0,3,"male",29,0,0,9.4833,"S","Third","man","True","","Southampton","no","True"
"222",1,3,"male",29,0,0,9.5,"S","Third","man","True","","Southampton","yes","True"
"223",0,3,"male",28,0,0,9.5,"S","Third","man","True","","Southampton","no","True"
"224",0,3,"male",16,0,0,9.5,"S","Third","man","True","","Southampton","no","True"
"225",1,3,"male",30,0,0,9.5,"S","Third","man","True","","Southampton","yes","True"
"226",0,3,"male",28,0,0,9.5,"S","Third","man","True","","Southampton","no","True"
"227",0,3,"male",20,0,0,9.5,"S","Third","man","True","","Southampton","no","True"
"228",0,3,"male",33,0,0,9.5,"S","Third","man","True","","Southampton","no","True"
"229",0,3,"male",24,0,0,9.5,"S","Third","man","True","","Southampton","no","True"
"230",1,3,"female",63,0,0,9.5875,"S","Third","woman","False","","Southampton","yes","True"
"231",0,3,"female",37,0,0,9.5875,"S","Third","woman","False","","Southampton","no","True"
"232",0,3,"female",20,1,0,9.825,"S","Third","woman","False","","Southampton","no","False"
"233",0,3,"female",21,1,0,9.825,"S","Third","woman","False","","Southampton","no","False"
"234",0,3,"female",22,0,0,9.8375,"S","Third","woman","False","","Southampton","no","True"
"235",1,3,"female",18,0,0,9.8417,"S","Third","woman","False","","Southampton","yes","True"
"236",0,3,"male",20,0,0,9.8458,"S","Third","man","True","","Southampton","no","True"
"237",0,3,"male",19,0,0,10.1708,"S","Third","man","True","","Southampton","no","True"
"238",0,3,"female",2,0,1,10.4625,"S","Third","child","False","G","Southampton","no","False"
"239",0,3,"female",29,1,1,10.4625,"S","Third","woman","False","G","Southampton","no","False"
"240",0,2,"male",66,0,0,10.5,"S","Second","man","True","","Southampton","no","True"
"241",1,2,"female",21,0,0,10.5,"S","Second","woman","False","","Southampton","yes","True"
"242",1,2,"female",29,0,0,10.5,"S","Second","woman","False","F","Southampton","yes","True"
